system:index,crop_label,solar_mean,temp_mean,vpd_mean,.geo
0,0,103.62000274658203,5.685002326965332,0.28200000524520874,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.35223686639203,33.37353569914538]}"
1,0,91.55000305175781,5.109999179840088,0.2759999930858612,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.09711989998395,34.459598877645874]}"
2,0,101.4000015258789,5.654998779296875,0.28599998354911804,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.84487296820318,33.36706782909972]}"
3,0,101.88999938964844,5.409998893737793,0.27799999713897705,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.11733199387663,33.34038786516137]}"
4,0,91.8499984741211,4.775001525878906,0.2529999911785126,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.72423379982779,34.14887162086894]}"
5,0,98.91999816894531,5.340001106262207,0.2669999897480011,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.01384607314607,33.593982269868306]}"
6,0,101.22999572753906,5.3899993896484375,0.2669999897480011,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.34630798551684,33.67321367792765]}"
7,0,89.5,4.320001125335693,0.24199999868869781,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.75414769878897,34.660641838231825]}"
8,0,92.0199966430664,4.880002021789551,0.26600000262260437,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.17527332970235,34.39303371509262]}"
9,0,100.25,5.4550018310546875,0.26600000262260437,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.62200094621313,33.546012233696324]}"
10,0,98.20999908447266,5.415002346038818,0.2750000059604645,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.96345058570697,33.694773244746514]}"
11,0,96.01000213623047,5.379998683929443,0.2809999883174896,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.66646755277705,34.449897072577386]}"
12,0,93.7300033569336,4.954998970031738,0.2549999952316284,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.58328813174943,33.989061331824075]}"
13,0,98.20999908447266,5.415002346038818,0.2750000059604645,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.97638632579829,33.6961207176727]}"
14,0,92.16999816894531,4.9250030517578125,0.2680000066757202,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.20087531529975,34.69163371553395]}"
15,0,99.97000122070312,5.460000514984131,0.2669999897480011,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.5893921013996,33.591556818601184]}"
16,0,101.44000244140625,5.380000114440918,0.2669999897480011,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.36598109023906,33.754601042668874]}"
17,0,97.72999572753906,5.070002555847168,0.2669999897480011,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.3922164708172,33.77454364197633]}"
18,0,92.61000061035156,5.010000705718994,0.27000001072883606,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.1359271202579,34.29763263191913]}"
19,0,93.61000061035156,5.114995002746582,0.26499998569488525,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.86373758916969,34.379019996660354]}"
20,0,102.73999786376953,5.055000305175781,0.2680000066757202,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.45366123625098,33.188931908258816]}"
21,0,101.2300033569336,5.3949995040893555,0.2669999897480011,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.33822314795977,33.845690212478594]}"
22,0,101.18000030517578,5.355001926422119,0.26600000262260437,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.88907008018187,33.43363299165297]}"
23,0,98.94000244140625,5.109999179840088,0.26100000739097595,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.55866971868271,34.21516728883696]}"
24,0,94.4000015258789,5.029998779296875,0.26499998569488525,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.27417784248391,34.245081187798135]}"
25,0,101.18000030517578,5.515002250671387,0.27399998903274536,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.86778000794823,33.39859869557231]}"
26,0,91.62000274658203,5.140000820159912,0.27399998903274536,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.9990238709581,34.476577036515735]}"
27,0,90.91999816894531,4.715001106262207,0.24799999594688416,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.7018657492532,34.46983967188484]}"
28,0,99.41999816894531,5.305001735687256,0.2619999945163727,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.55651376200082,33.78235898494817]}"
29,0,92.23999786376953,4.7899980545043945,0.25999999046325684,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.40245726505617,34.44208172960555]}"
30,0,101.0,5.520001411437988,0.27300000190734863,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.82007946636149,33.399676673913255]}"
31,0,93.25,4.795001029968262,0.2549999952316284,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.70779463012839,34.0456551947236]}"
32,0,93.45999908447266,4.719998359680176,0.24500000476837158,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.6943199008666,33.92195718010034]}"
33,0,98.36000061035156,5.214999198913574,0.27300000190734863,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.52120997133493,34.3410212601421]}"
34,0,100.4800033569336,5.399998664855957,0.2619999945163727,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.41934101811577,33.767536782760196]}"
35,0,100.47999572753906,5.514997959136963,0.26899999380111694,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.4977639424194,33.60610952620392]}"
36,0,92.38999938964844,5.225001335144043,0.2759999930858612,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.89661592856847,34.576020538467766]}"
37,0,92.11000061035156,5.009997367858887,0.26899999380111694,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.99578993593526,34.73825627877975]}"
38,0,99.69999694824219,5.349999904632568,0.26600000262260437,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.05723470136904,33.533076493605]}"
39,0,102.54000091552734,5.895002841949463,0.29499998688697815,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.68694914125497,33.24363930906169]}"
40,0,97.3499984741211,5.3250017166137695,0.2719999849796295,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.67347441199318,34.11141187352115]}"
41,0,101.18000030517578,5.515002250671387,0.27399998903274536,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.8607731487321,33.39644273889042]}"
42,0,102.5999984741211,5.700003147125244,0.27900001406669617,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.62739083791784,33.279482088898064]}"
43,0,100.36000061035156,5.46999979019165,0.27399998903274536,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.71389859977856,33.54089183657684]}"
44,0,97.41000366210938,5.074998378753662,0.2669999897480011,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.36796195814598,33.80176259508515]}"
45,0,99.97000122070312,5.460000514984131,0.2669999897480011,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.60825672236611,33.62524364175567]}"
46,0,98.75,5.370001316070557,0.27300000190734863,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.57645636130827,34.069640212809595]}"
47,0,94.51000213623047,5.064999580383301,0.2619999945163727,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.35933813141844,34.215975772592664]}"
48,0,97.86000061035156,5.029998779296875,0.25099998712539673,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.70042387051676,33.89662468908817]}"
49,0,99.91999816894531,5.419999599456787,0.26499998569488525,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.70554426763624,33.557061511690996]}"
50,0,94.9000015258789,5.249998569488525,0.2709999978542328,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.8494543761522,34.24939310116191]}"
51,0,101.22999572753906,5.3899993896484375,0.2669999897480011,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.33445022376647,33.68749689094515]}"
52,0,89.83000183105469,4.40500020980835,0.23800000548362732,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.60215275271594,34.73906476253546]}"
53,0,102.16999816894531,4.914996147155762,0.26499998569488525,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.59298993681792,33.25522757622684]}"
54,0,93.61000061035156,5.114995002746582,0.26499998569488525,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.82951177684474,34.34048227097163]}"
55,0,91.91000366210938,4.6600022315979,0.25,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.46551899800136,34.5011010437722]}"
56,0,95.19999694824219,5.055000305175781,0.2680000066757202,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.4834807294019,34.592459708167155]}"
57,0,101.81999969482422,5.599997043609619,0.28600001335144043,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.88664462891474,33.31855880375726]}"
58,0,102.69999694824219,5.574998378753662,0.2750000059604645,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.31154318402142,33.568649778856134]}"
59,0,93.77000427246094,5.335000514984131,0.2759999930858612,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.81172513421917,34.4304934624404]}"
